DATE / TIME,Indoor Heat Index,Outdoor Heat Index
7/16/2019 12am,93,82
7/16/2019 4am,90.9,79
7/16/2019 8am,89,89
7/16/2019 12pm,93.3,99
7/16/2019 4pm,99.4,95
7/16/2019 8pm,101.2,94
7/17/2019 12am,96,89
7/17/2019 4am,94,84
7/17/2019 8am,93.2,94
7/17/2019 12pm,98,101
7/17/2019 4pm,103.4,105
7/17/2019 8pm,101.6,79
7/18/2019 12am,96.1,81
7/18/2019 4am,94.1,81
7/18/2019 8am,92.8,96
7/18/2019 12pm,97.4,102
7/18/2019 4pm,101.8,97
7/18/2019 8pm,103.3,96
7/19/2019 12am,98,91
7/19/2019 4am,95,84
7/19/2019 8am,93.9,95
7/19/2019 12pm,98.5,105
7/19/2019 4pm,105.5,106
7/19/2019 8pm,112.7,102
7/20/2019 12am,104.6,94
7/20/2019 4am,99.3,89
7/20/2019 8am,97.2,97
7/20/2019 12pm,102.2,108
7/20/2019 4pm,106.9,108
7/20/2019 8pm,102.4,103
7/21/2019 12am,101.2,97
7/21/2019 4am,98.5,91
7/21/2019 8am,95,98
7/21/2019 12pm,96.2,106
7/21/2019 4pm,100.8,111
7/21/2019 8pm,102.4,92
7/22/2019 12am,95.2,85
7/22/2019 4am,92,83
7/22/2019 8am,93.8,90
7/22/2019 12pm,97.2,104
